gid,actual_price,rsi,ma25_distance,predicted_action
799367,80906.4824,65.72,54.53,BEARISH_DRIFT
799368,80905.4,65.72,4.1,BEARISH_DRIFT
799369,80907.4,65.69,52.92,BEARISH_DRIFT
799370,80902.8964,68.04,48.04,BEARISH_DRIFT
799372,80893.4784,65.41,42.16,BEARISH_DRIFT
799362,80909.727,65.41,46.06,BEARISH_DRIFT
799371,80895.87,66.02,2.35,BEARISH_DRIFT
799379,80928.08,62.07,36.71,BULLISH_DRIFT
799388,80938.24,60.8,56.92,BULLISH_DRIFT
799396,80933.708,74.05,64.36,BEARISH_DRIFT
799405,80899.8959,72.8,62.09,BEARISH_DRIFT
799414,80881.9727,57.56,11.26,BULLISH_DRIFT
799423,80905.9902,57.02,35.3,BULLISH_DRIFT
799431,80870.009,56.72,26.85,BULLISH_DRIFT
799440,80910.7588,49.97,-5.99,BEARISH_DRIFT
799448,80926.498,51.72,-1.62,BEARISH_DRIFT
799457,80920,54.22,22.29,BULLISH_DRIFT
799465,80845.6041,50.64,21.74,BULLISH_DRIFT
799474,80946.2795,56.29,-26.8,BEARISH_DRIFT
799482,80962,53.95,27.92,BULLISH_DRIFT
799491,81007.1436,53.24,33.72,BULLISH_DRIFT
799499,80993.49,59.44,68.6,BULLISH_DRIFT
799508,80935.029,61.37,34.7,BULLISH_DRIFT
799516,80949.0035,58.69,5.22,BULLISH_DRIFT
799525,80934.5122,60.16,53.25,BULLISH_DRIFT
799533,80997,62.45,19.08,BULLISH_DRIFT
799542,80954,61.63,19.04,BULLISH_DRIFT
799550,81025.8,59.81,29.65,BULLISH_DRIFT
799559,81068.9676,67.14,60.49,BEARISH_DRIFT
799567,81033.4,73.51,101.16,BEARISH_DRIFT
799576,81055.2601,62.2,55.02,BULLISH_DRIFT
799584,81087.5,60.64,60.58,BULLISH_DRIFT
799593,81045.9046,58.92,79.55,BULLISH_DRIFT
799601,81042.9,64.43,44.38,BULLISH_DRIFT
799610,81029.1936,60.23,42.25,BULLISH_DRIFT
799618,80994.5863,55.67,23.28,BULLISH_DRIFT
799627,81048.76,56.97,-1.54,BEARISH_DRIFT
799635,81101.9,58.72,19.48,BULLISH_DRIFT
